frame,estimated_speed_kmh,filtered_speed_kmh,ground_truth_speed_kmh
0,28.17006945996492,28.17006945996492,54.972683508887584
1,27.49128401924224,27.830676739603582,55.055791978506264
2,21.462057308473142,25.707803595893438,55.091347229261594
3,57.67201766387758,33.69885711288947,55.10773595535793
4,46.70003390140825,36.29909247059322,55.08956525960953
5,86.71040281039892,44.70097752722751,55.0546663069588
6,36.37475431918811,43.511517068936165,55.020868552398625
7,87.29389736325564,43.511517068936165,54.96497972887302
8,43.41550428524416,43.499515470974664,54.89920059534345
9,44.91013730741416,43.65625123057905,54.8294883954592
10,44.293765050585336,43.720002612579684,54.76054432353914
11,40.410034745201514,44.94399914110333,54.65681090278864
12,50.31302658994179,47.226173398173295,54.54959369304901
13,33.30448188819417,47.226173398173295,54.47047248245802
14,27.47457263353309,47.226173398173295,54.36960391860984
15,3.9083264385720153,47.226173398173295,54.24525804921058
16,45.62887715883985,49.64285538320996,54.110895586819275
17,-1.0,49.64285538320996,53.983081556039885
18,-1.0,49.64285538320996,53.87087757613999
19,50.84133943716775,48.95978756053898,53.764594645824005
20,-1.0,48.95978756053898,53.632737945650526
21,42.5641258412846,48.54619675452661,53.49069698491128
22,42.48639823036614,44.12379629652334,53.316169825493304
23,34.20750832528696,43.90707169713322,53.167005065776884
24,35.65744363767949,43.13126563237675,53.02460467530656
25,25.763473558692294,43.13126563237675,52.863059842787024
26,-1.0,43.13126563237675,52.72689507415168
27,39.63200669544822,42.60345257118017,52.56924023338312
28,59.973287473886444,42.60345257118017,52.41680875926786
29,62.22384589120942,42.60345257118017,52.26921055813458
30,19.276085603665592,42.60345257118017,52.10775492596013
31,5.508306693307378,42.60345257118017,51.96239817579406
32,93.68645170787758,42.60345257118017,51.81597478347679
33,48.25960732674049,43.000036798795676,51.64128491975335
34,36.96680223145352,42.65571354742088,51.49893374346852
35,29.515748821227113,42.65571354742088,51.42127961481461
36,15.431039698025064,42.65571354742088,51.358684367653105
37,10.926145341316206,42.65571354742088,51.28364359760475
38,53.76990154564226,42.65571354742088,51.225067369482005
39,51.465498689351186,42.77096075736183,51.20071353841761
40,50.17851892072177,43.22592493355002,51.19319635168278
41,41.17238719307268,42.259029709140506,51.18859371193086
42,36.13372069864177,41.615989194876214,51.17984872771512
43,3.5997809780486696,41.615989194876214,51.15886445000324
44,134.92618923839217,41.615989194876214,51.16796791864723
45,-1.0,41.615989194876214,51.17935766535639
46,80.49319966432982,41.615989194876214,51.16808255332759
47,59.36738562737127,41.615989194876214,51.133680905421514
48,104.33425273158349,41.615989194876214,51.083861705504724
49,-1.0,41.615989194876214,51.0490793786829
50,-1.0,41.615989194876214,50.99667919038349
51,32.36933737939685,40.604283109779296,50.91596324431345
